category_name,subcategory_name,product_name,per_piece,0.5lb,1lb,1.5lb,2lb,2.5lb,3lb,3.5lb,4lb,4.5lb,5lb,is_chef_special,dietary_tag,is_veg
Cakes,"Classic Chocolate","Belgian Praline Feulletine Crunch",,,1350.00,2025.00,2700.00,3375.00,4050.00,,5400.00,,,0,Eggless,1
Other,General,"Thandai Tea Cake",,500.00,950.00,1400.00,1800.00,,,,,,,0,Eggless,1
Other,General,"Thandai Gateau",,650.00,1200.00,1800.00,2400.00,,3600.00,,,,,0,Eggless,1
Other,General,"the Assorted Basket (Holi)",1620.00,,,,,,,,,,,0,Eggless,1
Other,General,"The Holi Basket",1700.00,,,,,,,,,,,0,Eggless,1
Other,General,"The Holi Platter",1400.00,,,,,,,,,,,0,Eggless,1
Other,General,"The Holi Dome",580.00,,,,,,,,,,,0,Eggless,1
Other,General,"The Holi Cake",,700.00,1350.00,2025.00,2600.00,,,,,,,0,Eggless,1
Other,General,"Teddy and Balloons Half Cake",,,1400.00,2100.00,2800.00,3500.00,4200.00,,,,,0,Eggless,1
Other,General,"Teddy and Dollops Pink",,,1450.00,2175.00,2900.00,3625.00,4350.00,,5800.00,,,0,Eggless,1
Other,General,"Unicorn Rainbow Half Cake",,,1400.00,2025.00,2700.00,3375.00,4050.00,,,,,0,Eggless,1
Other,General,"Owl Cake",,,1550.00,2250.00,3000.00,,4350.00,,,,,0,Eggless,1
Other,General,"Under the Sea / Mermaid Single Tier",,,1600.00,2325.00,3100.00,3875.00,4650.00,,6000.00,,,0,Eggless,1
Other,General,"2 Tier Lavender Pearls",,,,,3000.00,3625.00,4350.00,5075.00,5800.00,,7250.00,0,Eggless,1
Other,General,"Dual Cake Double Tone",,,,,3200.00,,4700.00,,6200.00,,7700.00,0,Eggless,1
Cakes,"Classic Tiered","White and Gold Naked Tiered",,,,,2900.00,3625.00,4350.00,,5800.00,,7250.00,0,Eggless,1
Other,General,"Black Retro Acrylic",,,,,,,,,6150.00,,7600.00,0,Eggless,1
Other,General,"Teddy and Bow Single Tier",,,1500.00,2250.00,3000.00,3750.00,4500.00,,,,,0,Eggless,1
Other,General,"Triangle Dual Shade",,,1550.00,2325.00,3000.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Other,General,"Disney Princess Single Tier",,,,,2700.00,3375.00,4050.00,,5400.00,,6750.00,0,Eggless,1
Other,General,"Rainbow Single Tier",,,1350.00,2025.00,2600.00,3250.00,3900.00,,5200.00,,,0,Eggless,1
Other,General,"Halloween Haunted Theme Single Tier",,,1500.00,2100.00,2800.00,3500.00,4050.00,,5400.00,,,0,Eggless,1
Other,General,"Butterfly and Lollies Single Tier",,,1550.00,2250.00,3000.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Classic Tiered","2 Tier Wafer Paper White & Gold",,,,,3200.00,3875.00,4650.00,,6200.00,,7750.00,0,Eggless,1
Other,General,"Cocomelon Single Tier Pink",,,,2400.00,3200.00,4000.00,4800.00,,6000.00,,,0,Eggless,1
Cakes,"Baby Shower","Bee Cake Single Tier",,,1500.00,2250.00,2800.00,3500.00,4200.00,,5600.00,,,0,Eggless,1
Other,General,"Butterfly Garden Tiered",,,,,3000.00,3750.00,4350.00,,5800.00,,7250.00,0,Eggless,1
Cakes,"Floral Anniversary","Anniversary Dual",,,,,3100.00,,4400.00,,5500.00,,6750.00,0,Eggless,1
Cakes,"Floral Birthday","Hexagon Balls Top Forward",,,,2025.00,2700.00,3375.00,4050.00,,,,,0,Eggless,1
Cakes,"Floral Birthday","Wavy Textured Floral",,,1500.00,2250.00,2900.00,3625.00,4350.00,,5800.00,,,0,Eggless,1
Cakes,"Themed Birthday","Baby Shark 2 Tier",,,,,3000.00,3750.00,4500.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Floral Birthday","Tri-Colour Floral",,,1350.00,2025.00,2700.00,,3900.00,,5200.00,,,0,Eggless,1
Cakes,"Kids Birthday","Wavy Texture Butterfly",,,1500.00,2250.00,3000.00,,4350.00,,5800.00,,,0,Eggless,1
"Signature Cakes",Opera,"Rasmalai Opera",,,1350.00,2025.00,2600.00,,,,,,,0,Eggless,1
Other,"Savoury Box","THE SAVOURY BOX",1180.00,,,,,,,,,,,0,Eggless,1
Cakes,"Deconstructed Tiered","Copper and Peach Dual",,,,,3100.00,3875.00,4500.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Themed Birthday","Pop It Cake",,,,,3300.00,4125.00,4950.00,,6600.00,,8250.00,0,Eggless,1
Cakes,"Baby Shower","Teddy Cake Blue",,,1500.00,2250.00,3000.00,3750.00,4500.00,,6000.00,,,0,Eggless,1
Cakes,"Kids Birthday","Harry Potter 2 Tier",,,,,,,4200.00,,5600.00,,7000.00,0,Eggless,1
"Signature Cakes","Tart Cake","Single Alphabet Tart Cake",,,1050.00,1575.00,2100.00,,3150.00,,,,,0,Eggless,1
Cakes,"Mini Cake Platters","4 Mini Cake Platter",2700.00,,,,,,,,,,,0,Eggless,1
Cakes,"Mini Cake Platters","2 Mini Cake Platter",1400.00,,,,,,,,,,,0,Eggless,1
"Signature Cakes","Chocolate Cheesecake","Biscoff Nutella Cheesecake",,,1300.00,1950.00,2600.00,3250.00,3900.00,,5200.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Round Top Forward",,,1350.00,1975.00,2600.00,3250.00,3900.00,,5200.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Faultline Black",,,1350.00,1975.00,2600.00,3250.00,3900.00,,5200.00,,,0,Eggless,1
Cakes,"Non Floral Birthday","Triangle Shards Top Forward Chocolate",,,1450.00,2175.00,2800.00,3500.00,4200.00,,,,,0,Eggless,1
Cakes,"Non Floral Birthday","Triangle Shards Lavender",,,1450.00,2175.00,2800.00,3500.00,4200.00,,,,,0,Eggless,1
Cakes,"Floral Birthday","Triangle Lavender Floral",,,1450.00,2175.00,2800.00,3500.00,4200.00,,,,,0,Eggless,1
Cakes,"Classic Tiered","Silver Red 2 Tier",,,,,3000.00,,4500.00,,5800.00,,7250.00,0,Eggless,1
Cakes,"Classic Tiered","Cream and Gold 2 Tier",,,,,2900.00,,4350.00,,5700.00,,7150.00,0,Eggless,1
Cakes,"Classic Tiered","2 Tier Copper",,,,,3000.00,,4500.00,,6000.00,,7250.00,0,Eggless,1
Cakes,"Classic Tiered","3 Tier Pastel",,,,,,,,,,,6250.00,0,Eggless,1
Cakes,"Classic Tiered","Blue Textured 2 Tier",,,,,3000.00,,4350.00,,5800.00,,7250.00,0,Eggless,1
Cakes,"Classic Tiered","2 Tier White",,,,,2800.00,,4200.00,,5200.00,,6750.00,0,Eggless,1
Cakes,"Classic Tiered","3 Tier Purple",,,,,,,,,,,7000.00,0,Eggless,1
Cakes,"Classic Tiered","3 Tier White",,,,,,,,,,,6750.00,0,Eggless,1
Cakes,"Classic Tiered","2 Tier Golden",,,,,3000.00,,4500.00,,6000.00,,7400.00,0,Eggless,1
Cakes,"Classic Tiered","2 Tier Silver",,,,,2900.00,,4350.00,,5800.00,,7250.00,0,Eggless,1
Cakes,"Classic Tiered","3 tier green white",,,,,,,,,,,6750.00,0,Eggless,1
Cakes,"Kids Birthday","Butterfly dual",,,,,3000.00,,4500.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Kids Birthday","Twins Dual",,,,,2900.00,,4200.00,,5400.00,,6750.00,0,Eggless,1
Cakes,"Themed Birthday","Netflix & Chill Dual",,,,,2900.00,,4200.00,,5600.00,,6750.00,0,Eggless,1
Cakes,"Kids Birthday","Unicorn Dual",,,,,3200.00,,4650.00,,6000.00,,7500.00,0,Eggless,1
Cakes,"Kids Birthday","Ballet triple",,,,,,,4050.00,,5200.00,,6500.00,0,Eggless,1
Cakes,"Deconstructed Tiered","Triple White",,,,,,,4200.00,,5600.00,,7000.00,0,Eggless,1
Cakes,"Deconstructed Tiered","Double cake",,,,,2850.00,,4200.00,,5600.00,,7000.00,0,Eggless,1
Cakes,"Deconstructed Tiered","Triple Round",,,,,,,4200.00,,5600.00,,7000.00,0,Eggless,1
Other,"Dessert Tubs","Acrylic Tub",550.00,,,,,,,,,,,0,Eggless,1
Cakes,"Floral Birthday","Heart Pinata Box",1850.00,,,,,,,,,,,0,Eggless,1
Cakes,"Floral Birthday","Coral Pink Heart Pinata",1600.00,,,,,,,,,,,0,Eggless,1
Other,Pinata,"White Round Pinata",1450.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"Peppa Pig Platter",1800.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"2 Jar Platter",1200.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"Baby Hamper",1000.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"Mini Cakes Hamper",2000.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"Assorted hampers",2100.00,,,,,,,,,,,0,Eggless,1
"Gifting Hampers",Hampers,"Mini Cake Hamper",2000.00,,,,,,,,,,,0,Eggless,1
Cakes,"Baby Shower","Balls baby shower",,,1400.00,2100.00,2700.00,3375.00,4050.00,,5200.00,,6500.00,0,Eggless,1
Cakes,"Baby Shower",Hexagon,,,1300.00,1950.00,2600.00,3250.00,3900.00,,,,,0,Eggless,1
Cakes,"Baby Shower","Baby Loading",,,1450.00,2175.00,2900.00,3625.00,4350.00,,5800.00,,,0,Eggless,1
Cakes,"Baby Shower","Square Tiered",,,,,,,4050.00,,5200.00,,6500.00,0,Eggless,1
Cakes,"Baby Shower","Teddy Tiered",,,,,3000.00,3750.00,4500.00,,5800.00,,7250.00,0,Eggless,1
Cakes,"Baby Shower","Parents To Be",,,1600.00,2275.00,2950.00,3625.00,4300.00,,5650.00,,,0,Eggless,1
Cakes,"Kids Birthday","Lillies Dual",,,,,,3500.00,4050.00,,5400.00,,6750.00,0,Eggless,1
Cakes,"Kids Birthday","Princess 1",,,,2100.00,2800.00,3500.00,4200.00,,5400.00,,,0,Eggless,1
Cakes,"Kids Birthday",Lollies,,,1300.00,1950.00,2600.00,3250.00,3900.00,,5200.00,,,0,Eggless,1
Cakes,"Kids Birthday","Rainbow 2",,,1400.00,2100.00,2700.00,3375.00,4050.00,,5200.00,,,0,Eggless,1
